"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","out1ap [kWh]","out2ap [kWh]","out3ap [kWh]","out4ap [kWh]","Ap Grid [kWh]"
2014-05-29 00:00:00,43.380014722,1021.978133056,255.700896944,54.495015000,124.890241111,311.973000556,1021.978133056,15.506205278,27.873809444,-263.284468889,622147668195.999970000,4142326408468.999800000,3413309194496.999900000,254.824195833,53.028757778,124.068508056,311.282683333,28.363810833
2014-05-28 00:00:00,43.378843889,1016.709021111,254.574718889,54.491597222,124.588602222,309.460421111,1016.709021111,15.505034444,27.873809444,-262.244891667,619920669878.000020000,4122340526115.999800000,3408988823065.999700000,253.701418056,53.032215000,123.766957222,308.770447222,28.360389167
2014-05-27 00:00:00,43.377971111,1013.110346667,253.756621944,54.485514444,124.500397778,308.286359722,1013.110346667,15.504161667,27.873809444,-261.206295833,617707211467.000000000,4102355990867.999700000,3404668450138.000200000,252.885907500,53.030828333,123.678780278,307.597311111,28.358048889
2014-05-26 00:00:00,43.377028611,1008.345326111,252.541875000,54.481941389,124.104733056,306.604458611,1008.345326111,15.503219167,27.873809444,-260.162761667,615477486634.000060000,4082379429769.999900000,3400348077314.000100000,251.672101944,53.034111667,123.283365556,305.917208611,28.354776667
2014-05-25 00:00:00,43.376389722,1004.898876389,252.537122778,54.477960278,123.660795556,305.773116667,1004.898876389,15.502580278,27.873809444,-259.114349444,613251245055.000060000,4062399320960.000100000,3396027705149.999800000,251.672397222,53.035791389,122.839782500,305.087780833,28.353261389
2014-05-24 00:00:00,43.375658056,1000.932360833,252.532493056,54.469805278,123.324566111,304.755451944,1000.932360833,15.501848611,27.873809444,-258.068728333,611032545985.000010000,4042428303967.999800000,3391707331237.000200000,251.672659444,53.032552778,122.503667778,304.072387222,28.351686111
2014-05-23 00:00:00,43.374723611,998.178996944,251.437041389,54.463334444,123.140921111,303.287426111,998.178996944,15.500914167,27.873809444,-257.027610000,608837393717.000000000,4022466364618.999900000,3387386956543.999900000,250.580003333,53.032247222,122.320044444,302.606050556,28.348781389
2014-05-22 00:00:00,43.373778333,994.103481389,250.707368333,54.459588056,122.864308611,302.123080833,994.103481389,15.499968889,27.873809444,-255.978855556,606611776098.999970000,4002492705443.999700000,3383066584266.999900000,249.854354722,53.034663611,122.043514167,301.443606944,28.346347222
2014-05-21 00:00:00,43.372811389,990.148114444,249.534940833,54.444777500,122.682289722,300.541023333,990.148114444,15.499001944,27.873809444,-254.935131944,604396056988.000030000,3982516631058.999800000,3378746209965.999700000,248.684827500,53.023941944,121.861815278,299.861710000,28.343326944
2014-05-20 00:00:00,43.371810833,985.259911389,248.334171111,54.441143611,122.232580556,299.311472778,985.259911389,15.498001389,27.873809444,-253.892311111,602163577250.000000000,3962535778752.999900000,3374425838169.000100000,247.487156944,53.027031389,121.412266389,298.633094444,28.340386389
2014-05-19 00:00:00,43.370695833,981.065044722,246.980035556,54.389239722,121.681016944,298.008004722,981.065044722,15.496886389,27.873809444,-252.862921111,599945488375.000000000,3942558714204.999800000,3370105465737.000100000,246.135855278,52.981571944,120.860763056,297.330910278,28.337178056
2014-05-18 00:00:00,43.369892500,977.686503333,246.975625556,54.378289722,120.878055556,297.191957778,977.686503333,15.496083056,27.873809444,-251.855803889,597718020376.000040000,3922580643346.999800000,3365785093652.999900000,246.136759167,52.975415000,120.057817500,296.516692500,28.335430556
2014-05-17 00:00:00,43.369162222,973.077470000,246.723621944,54.374436667,120.395849167,296.385441111,973.077470000,15.495352778,27.873809444,-250.846413056,595486164404.999970000,3902621185756.999800000,3361464720282.999800000,245.887565278,52.977317778,119.575618333,295.711725556,28.333513333
2014-05-16 00:00:00,43.367806389,968.535613056,244.929165833,54.371298611,119.845044167,294.728178889,968.535613056,15.493996944,27.873809444,-249.842938611,593269297304.000020000,3882665836550.999800000,3357144347141.000000000,244.093109167,52.981285278,119.024815556,294.056053889,28.329431944
2014-05-15 00:00:00,43.366672222,963.296060556,243.145226111,54.368003333,119.373702500,293.677156111,963.296060556,15.492862778,27.873809444,-248.838388889,591043115490.000000000,3862718447269.999900000,3352823973726.999700000,242.309169444,52.984728333,118.553481111,293.007021944,28.325644722
2014-05-14 00:00:00,43.365536111,957.754649444,241.603423889,54.364691111,118.581228889,292.593559444,957.754649444,15.491726667,27.873809444,-247.832718333,588817317843.999980000,3842760618130.999800000,3348503602459.999900000,240.768678056,52.988378889,117.761008889,291.925358611,28.322093333
2014-05-13 00:00:00,43.364339167,953.307998611,239.909797500,54.361477500,117.909982222,291.441514167,953.307998611,15.490529722,27.873809444,-246.812951944,586602181088.000050000,3822803710544.999800000,3344183228738.999900000,239.077021667,52.992111667,117.091100556,290.775731944,28.318338056
