"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","Ap Grid [kWh]","out4ap [kWh]","out3ap [kWh]","out2ap [kWh]","out1ap [kWh]"
2014-06-14 00:00:00,149.922344722,658.699763611,409.308594722,23.418443889,207.308910000,152.237896667,658.699763611,142.717934722,7.204410000,-247.806958611,910742347837.999930000,5066248045630.999800000,3246823539286.000100000,-50.363955833,46.439753333,147.623711111,-152.711447778,343.708806944
2014-06-13 00:00:00,149.927824167,657.005472222,409.296271389,22.383145000,205.718032778,152.134316111,657.005472222,142.724179167,7.203645000,-246.904014722,908357605074.000000000,5050835003920.000100000,3236903142739.999800000,-50.144936944,46.352850556,146.043911944,-153.737102778,343.722275278
2014-06-12 00:00:00,149.934316944,653.366655833,406.074632222,21.613279722,204.751829722,151.848422500,653.366655833,142.731647500,7.202669444,-246.042106667,906018631838.999980000,5036325384272.999700000,3226878228472.999900000,-49.672675556,46.092151667,145.091129722,-154.500137778,340.513469167
2014-06-11 00:00:00,149.939814167,649.727498889,406.058841667,20.553310833,203.711228333,151.531915278,649.727498889,142.737589167,7.202225000,-245.191371111,903678339054.999940000,5016410794010.999700000,3222557791284.999800000,-49.663772222,45.796053611,144.063997778,-155.558177222,340.525291389
2014-06-10 00:00:00,149.945719722,646.847958333,406.044734444,19.945091389,201.920656944,150.941524722,646.847958333,142.744306944,7.201412778,-244.329440556,901324042256.999960000,4998839020881.999700000,3215683117185.999700000,-49.551751111,45.215760833,142.287863889,-156.160790556,340.537580833
2014-06-09 00:00:00,149.950170556,645.990655278,406.028957500,19.802905833,201.903938611,150.804188333,645.990655278,142.749806389,7.200364167,-243.470331944,898968349045.000070000,4982073093592.000000000,3207845879865.999800000,-49.358850556,45.099398889,142.290188889,-156.275438889,340.545454722
2014-06-08 00:00:00,149.954398889,644.328237778,405.210698056,19.644945833,201.884235556,150.696205833,644.328237778,142.755277222,7.199121667,-242.617893333,896644142146.999950000,4962161348780.000200000,3203525442748.000000000,-49.350203889,45.025907778,142.293579444,-156.428436389,339.748168889
2014-06-07 00:00:00,149.958193611,641.909074167,405.192811944,19.571675278,201.865249167,150.504596667,641.909074167,142.760160556,7.198033056,-241.765200278,894303685714.999910000,4942246728058.000200000,3199205008798.999700000,-49.342564444,44.871906111,142.296614444,-156.496463611,339.755554167
2014-06-06 00:00:00,149.962233611,638.006527500,405.174907500,19.504947778,201.846090833,150.260172500,638.006527500,142.765000833,7.197232778,-240.911704722,891974448325.000040000,4922334508759.999800000,3194884550631.999900000,-49.334741111,44.645426111,142.299076944,-156.554978611,339.762405833
2014-06-05 00:00:00,149.965954722,633.262620833,404.618862500,18.516553333,200.764248889,149.779444167,633.262620833,142.770570000,7.195384722,-240.036217500,889671951962.000130000,4902436942293.999700000,3190564115824.999800000,-49.326059722,44.177196111,141.238275278,-157.540013889,339.231964444
2014-06-04 00:00:00,149.970862500,629.982703333,403.390825278,18.397812222,196.601633889,149.640945833,629.982703333,142.777176111,7.193686389,-239.142502778,887387531571.999900000,4884594013474.000000000,3184179915605.999800000,-49.242605000,44.057194167,137.082887778,-157.650840556,338.024307500
2014-06-03 00:00:00,149.974481111,626.880077778,403.371789167,18.298120556,195.172105278,149.204879167,626.880077778,142.782688333,7.191792778,-238.268428889,885059810625.000000000,4864689818352.000100000,3179848122362.999900000,-49.233588333,43.634194167,135.663513056,-157.736453889,338.033913611
2014-06-02 00:00:00,149.979373611,622.173847222,403.354741111,17.069040833,191.731426944,149.032349722,622.173847222,142.789289167,7.190084444,-237.361952222,882732889751.000040000,4844772297937.999900000,3175527700706.999800000,-49.224166389,43.477325556,132.237061944,-158.964257222,338.048656111
2014-06-01 00:00:00,149.983988889,620.117011944,403.336735000,16.963399722,191.711996667,149.023198611,620.117011944,142.795111111,7.188877778,-236.426293056,880374520014.999980000,4826320359047.999900000,3170197828730.999800000,-48.771050278,43.511730833,132.239648333,-159.067155278,338.057006944
2014-05-31 00:00:00,149.990447500,616.506032778,401.668863056,16.845894167,191.699208333,149.016689444,616.506032778,142.802106667,7.188340833,-235.573020278,878107293322.999950000,4811937192153.000200000,3161526298636.999700000,-47.583560833,43.543522222,132.244071667,-159.182923611,336.393731389
2014-05-30 00:00:00,149.996543611,612.200121389,397.778088611,16.643411667,187.902928056,148.998309167,612.200121389,142.809561111,7.186982500,-234.651384444,875885681320.000050000,4792430847178.000200000,3156909793443.999800000,-47.529333889,43.565041667,128.484516667,-159.372490278,332.512008611
2014-05-29 00:00:00,150.001229722,608.893233056,395.835821944,16.616074722,185.819850833,148.989559444,608.893233056,142.815942778,7.185286944,-233.713295278,873612960345.999950000,4774158816322.000000000,3151174331492.000200000,-47.379634444,43.597892222,126.431498056,-159.379130833,330.586048889
2014-05-28 00:00:00,150.006643611,603.875287778,392.757187222,15.403324444,182.588749444,148.953236944,603.875287778,142.823107222,7.183536389,-232.767896389,871350696945.999860000,4754254427070.000100000,3146853898093.000000000,-47.369492778,43.583531111,123.213466111,-160.580817778,327.517899444
2014-05-27 00:00:00,150.011673611,601.686741667,391.026570278,15.233858611,181.693711111,148.887338611,601.686741667,142.829356389,7.182317222,-231.820411389,869024040546.999930000,4736534759133.999900000,3140460689542.000200000,-47.177478056,43.542585278,122.390683611,-160.723433611,325.804852222
2014-05-26 00:00:00,150.017152778,598.481899167,390.980367500,14.140421389,178.896281111,148.872048056,598.481899167,142.835880278,7.181272500,-230.885844722,866717571766.000030000,4716625510375.000200000,3136140252631.000200000,-47.168186667,43.561282778,119.608663333,-161.807306111,325.787079444
2014-05-25 00:00:00,150.020803333,596.688770000,390.961259722,14.117016667,178.876509722,148.862513056,596.688770000,142.840711667,7.180091667,-229.940939444,864376275306.999920000,4696712033819.000100000,3131819819293.000100000,-47.159795556,43.593868056,119.611524444,-161.810098056,325.793481111
2014-05-24 00:00:00,150.025066111,594.260671389,390.941795833,14.086150556,178.856367222,148.851265556,594.260671389,142.846231944,7.178834167,-228.990478611,862040452141.999950000,4676803551169.999800000,3127499384218.999700000,-47.152001389,43.622004167,119.614355833,-161.822886944,325.799845833
2014-05-23 00:00:00,150.030211111,591.401513611,389.129107500,13.168033056,177.302036111,148.813286111,591.401513611,142.852541944,7.177669167,-228.073487500,859714207911.000010000,4658923486389.999900000,3120888670796.999900000,-46.963535556,43.606662222,118.076574444,-162.727627222,324.004268056
2014-05-22 00:00:00,150.036830278,586.715210000,388.097463333,12.119093889,175.655858889,148.775855278,586.715210000,142.860055278,7.176775000,-227.112071944,857357281154.000040000,4642916890220.999700000,3113053678871.999900000,-46.382220833,43.594553056,116.442283056,-163.766072222,322.990110833
2014-05-21 00:00:00,150.042144722,581.954528889,385.748623889,11.088932500,174.307795278,148.743964167,581.954528889,142.867221389,7.174923333,-226.172038889,855091638356.000060000,4629325982304.999800000,3102115670795.000100000,-45.767431667,43.588413611,115.105651111,-164.788326667,320.651971389
