"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","Ap Grid [kWh]","out4ap [kWh]","out3ap [kWh]","out2ap [kWh]","out1ap [kWh]"
2014-09-18 00:00:00,149.625198889,1011.524691111,568.683718611,55.779548611,331.450844722,176.240780000,1011.524691111,142.292493333,7.332705556,-327.332475000,1130163550186.000000000,6868302062437.000200000,3774766653687.999800000,-61.757799167,69.158469722,270.071533889,-121.879408333,501.976468056
2014-09-17 00:00:00,149.630965000,1006.171038889,568.667990000,54.900411111,326.715793333,175.546175833,1006.171038889,142.299081111,7.331883889,-326.523838889,1127937308325.999900000,6848399508249.000300000,3770446215001.999700000,-61.747125278,68.464185000,265.336507500,-122.744584444,501.987259167
2014-09-16 00:00:00,149.636072222,1001.540654167,568.209958056,54.882915278,322.182264444,174.682609444,1001.540654167,142.305444167,7.330628056,-325.697904722,1125682731895.000000000,6828499300779.999400000,3766125779225.000100000,-61.736530556,67.602395278,260.802978611,-122.738440278,501.551601667
2014-09-15 00:00:00,149.641124444,996.843798611,568.083941389,54.859473333,318.561487778,174.294859167,996.843798611,142.311175000,7.329949444,-324.831794722,1123373863187.000000000,6814204065413.999500000,3756057943158.000100000,-61.204351111,67.236709722,257.184350556,-122.747388889,501.444128056
2014-09-14 00:00:00,149.644909167,991.084843056,566.068434444,54.424737222,318.164310278,173.844364722,991.084843056,142.316291667,7.328617500,-324.057686389,1121132479033.000000000,6794702124715.000300000,3751384011722.999800000,-61.131980833,66.791614167,256.805715833,-123.169718333,499.437257222
2014-09-13 00:00:00,149.649984444,985.729092500,565.106963333,54.261245556,313.724889722,173.526584444,985.729092500,142.322555556,7.327428889,-323.299627222,1118914534523.999900000,6774835525197.999400000,3747037456588.000000000,-61.119552222,66.480358611,252.368108611,-123.312918333,498.492554722
2014-09-12 00:00:00,149.654893889,980.608908056,564.720400278,53.888835000,308.893158889,173.398017500,980.608908056,142.328648333,7.326245556,-322.479247500,1116677447985.000000000,6754936279034.999600000,3742717019789.000100000,-61.109003611,66.357203056,247.536377778,-123.666587778,498.129391667
2014-09-11 00:00:00,149.659891389,975.571974722,564.264988333,53.852997778,305.003325000,173.288271944,975.571974722,142.334494722,7.325396667,-321.640071944,1114427723747.999900000,6735037405674.999900000,3738396581880.000200000,-61.098763889,66.254845000,243.646543889,-123.687420833,497.688677500
2014-09-10 00:00:00,149.666333889,970.659023056,561.107164444,53.624675556,301.474593056,173.201052222,970.659023056,142.341838611,7.324495278,-320.802776111,1112179735531.000000000,6715139855730.999700000,3734076146886.000000000,-61.087473333,66.177449167,240.117915833,-123.896478056,494.531524722
2014-09-09 00:00:00,149.670758333,967.280120000,560.010992222,53.144170556,299.058725278,173.142766944,967.280120000,142.348056111,7.322702222,-319.955663333,1109885613621.000000000,6695225064910.000500000,3729755705774.000200000,-61.077071111,66.135081667,237.707836389,-124.362360000,493.451211667
2014-09-08 00:00:00,149.676355000,962.896589444,557.427134167,53.124919722,296.798698611,173.117087222,962.896589444,142.354858333,7.321496667,-319.117692222,1107585221492.999900000,6675329067670.999700000,3725435266739.000000000,-61.066859167,66.124925833,235.458905000,-124.360210556,490.873840556
2014-09-07 00:00:00,149.680875000,958.784890000,554.712421944,53.091531111,296.780586667,173.087465833,958.784890000,142.360944167,7.319930833,-318.283540556,1105242242618.999900000,6655438141842.999400000,3721114832505.000200000,-61.057735278,66.110732222,235.463011667,-124.374497778,488.159166111
2014-09-06 00:00:00,149.686817500,955.471776667,552.814584444,53.075918611,293.343993889,173.074948333,955.471776667,142.368408611,7.318408889,-317.410905556,1102876510797.999900000,6639053618762.999700000,3711575681604.999800000,-60.917473611,66.124692778,232.037701111,-124.369087778,486.263389444
2014-09-05 00:00:00,149.693949167,954.182981111,551.182467778,53.063740556,290.656984444,173.064769167,954.182981111,142.376133611,7.317815556,-316.495881944,1100540894825.000000000,6625465147038.999700000,3700401649761.999800000,-60.294745278,66.137302500,229.357118889,-124.365282778,484.633836389
2014-09-04 00:00:00,149.700259167,952.272057222,549.606982778,53.033530833,289.301928333,173.042537222,952.272057222,142.384345278,7.315913889,-315.599865556,1098161471254.000000000,6609318102138.999700000,3692674151389.999900000,-59.700956389,66.135844722,228.013922778,-124.377898056,483.071187778
2014-09-03 00:00:00,149.707226389,949.339475833,549.004110278,53.025724167,289.057180833,173.036998333,949.339475833,142.391616389,7.315610000,-314.761245556,1095859989952.999900000,6603577672553.000400000,3669188602146.000200000,-58.478245278,66.145186667,227.782378611,-124.380578611,482.473851111
2014-09-02 00:00:00,149.709497222,946.814250556,545.564946944,53.000457778,289.040074444,173.017561667,946.814250556,142.395174167,7.314323056,-314.094240000,1093682731580.000000000,6583689449535.000300000,3664868175688.999800000,-58.470906944,66.144976389,227.786430000,-124.387850000,479.034753056
2014-09-01 00:00:00,149.712140833,942.785852222,542.706055556,52.977862222,289.022992222,172.998437778,942.785852222,142.398606667,7.313534167,-313.348158889,1091475304422.000000000,6563798061482.000300000,3660547752264.000100000,-58.464718611,66.145006111,227.789841111,-124.392650833,476.175938056
2014-08-31 00:00:00,149.714743611,938.128085556,539.948803056,52.956958611,289.005542222,172.979079167,938.128085556,142.402253611,7.312490000,-312.577384167,1089264999792.000000000,6543913653400.000300000,3656227327756.000100000,-58.458290278,66.145148611,227.793161389,-124.395495833,473.418691389
2014-08-30 00:00:00,149.716443889,935.037411944,537.421422778,52.935467500,288.987404722,172.959370833,935.037411944,142.405553889,7.310890000,-311.859107778,1087063898549.000000000,6524027309627.000000000,3651906904265.000200000,-58.451745833,66.145216389,227.795775000,-124.398365278,470.891382778
2014-08-29 00:00:00,149.719394444,930.834278611,534.199537222,52.914686111,288.970187778,172.940191944,930.834278611,142.409377778,7.310016667,-311.145458056,1084857809337.999900000,6504143545453.000000000,3647586478339.999900000,-58.444631667,66.145137778,227.798907500,-124.401352778,467.669498333
2014-08-28 00:00:00,149.720849167,927.493601667,531.273973056,52.891795556,288.951218333,172.919429444,927.493601667,142.412823333,7.308025833,-310.372100833,1082646839932.000000000,6484252874090.000300000,3643266050070.999800000,-58.437783611,66.145220556,227.801861944,-124.404772500,464.744018611
