"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","out1ap [kWh]","out2ap [kWh]","out3ap [kWh]","out4ap [kWh]","Ap Grid [kWh]"
2014-09-27 00:00:00,43.450575000,1416.768578056,302.017637500,54.981567500,164.258480556,447.169778889,1416.768578056,15.576758889,27.873816111,-387.168053333,889556195949.000000000,6264997931816.999900000,4141250777354.000200000,300.649559722,52.838264722,163.292845000,446.268600000,28.567219167
2014-09-26 00:00:00,43.449248611,1412.001791111,302.011680556,54.976501389,164.038267222,444.785653889,1412.001791111,15.575432500,27.873816111,-386.196845278,887367257431.999920000,6245006173565.000200000,4136930392836.999800000,300.649136944,52.839818611,163.074063333,443.886713889,28.565296667
2014-09-25 00:00:00,43.448349167,1407.050344444,302.006647778,54.972056667,163.494848333,442.413118056,1407.050344444,15.574536389,27.873812778,-385.232753333,885186671653.000110000,6225018797303.999600000,4132610009269.000200000,300.650275556,52.842537500,162.531755278,441.515400000,28.563233889
2014-09-24 00:00:00,43.447076389,1401.535908333,300.313778889,54.968302222,163.066696111,440.031472500,1401.535908333,15.573263611,27.873812778,-384.268744722,883013234159.000030000,6205042478438.999600000,4128289626531.000100000,298.961173889,52.846839444,162.105119722,439.135190833,28.559587222
2014-09-23 00:00:00,43.446271389,1396.849605278,300.309088889,54.964094444,162.662869444,437.611397222,1396.849605278,15.572458611,27.873812778,-383.304138889,880835923072.999950000,6185058044819.999900000,4123969242050.999900000,298.962195556,52.849355556,161.704883889,436.717472500,28.557575833
2014-09-22 00:00:00,43.445242500,1392.484258889,298.683702500,54.960238611,162.253850000,435.209161944,1392.484258889,15.571429722,27.873812778,-382.342145278,878666164496.999970000,6165079341337.000100000,4119648858432.999800000,297.340162222,52.853594167,161.300639167,434.317758889,28.553967778
2014-09-21 00:00:00,43.444253056,1387.573492222,298.679138889,54.956236111,161.582948889,432.640577778,1387.573492222,15.570440278,27.873812778,-381.379020000,876476176137.999890000,6145087853874.000300000,4115328474491.999700000,297.341706944,52.856752500,160.633491944,431.751156111,28.551686111
2014-09-20 00:00:00,43.443403333,1384.407120833,298.674253889,54.951959167,161.318026667,430.383674722,1384.407120833,15.569590556,27.873812778,-380.411653333,874291591972.999930000,6125093200758.999500000,4111008088885.999900000,297.342557222,52.859156111,160.372425556,429.496597500,28.549706389
2014-09-19 00:00:00,43.442303889,1379.757061111,297.217269444,54.948043056,160.934426667,428.403131389,1379.757061111,15.568491111,27.873812778,-379.436491667,872094506883.000010000,6105106877144.999500000,4106687704161.000200000,295.889029444,52.862820278,159.992938611,427.518463611,28.546396111
2014-09-18 00:00:00,43.441523889,1375.641448611,296.845266944,54.943544167,160.784216667,426.619035556,1375.641448611,15.567711111,27.873812778,-378.430676111,869891123450.999970000,6085108766371.999900000,4102367321330.000100000,295.522101944,52.865146944,159.845151944,425.737512778,28.544316389
